GEL-Bone_SoftTissue_common_SBS127	GEL-Bone_SoftTissue_common_SBS8	GEL-Bone_SoftTissue_common_SBS122	GEL-Bone_SoftTissue_common_SBS1	GEL-Bone_SoftTissue_common_SBS100	GEL-Bone_SoftTissue_common_SBS5	GEL-Bone_SoftTissue_common_SBS18	GEL-Bone_SoftTissue_common_SBS13	GEL-Bone_SoftTissue_common_SBS3	GEL-Bone_SoftTissue_common_SBS17	GEL-Bone_SoftTissue_rare_SBS7a	GEL-Bone_SoftTissue_rare_SBS124_a	GEL-Bone_SoftTissue_rare_SBS31	GEL-Bone_SoftTissue_rare_SBS30	GEL-Bone_SoftTissue_rare_SBS57	GEL-Bone_SoftTissue_rare_SBS44	GEL-Bone_SoftTissue_rare_SBS26	GEL-Bone_SoftTissue_rare_SBS108	GEL-Bone_SoftTissue_rare_SBS124_b	GEL-Bone_SoftTissue_rare_SBS135	GEL-Bone_SoftTissue_rare_SBS5+8	GEL-Bone_SoftTissue_rare_SBS96	GEL-Bone_SoftTissue_rare_SBS129	GEL-Bone_SoftTissue_rare_SBS117	unassigned
GEL-2174035-11	256.324370832437	308.993762099376	0	232.748548074855	391.759948375995	384.235749623575	173.558184555818	0	257.32759733276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327.051839105184
GEL-2304713-11	0	235.625415834997	296.787757817698	415.101796407186	790.598469727212	0	447.186959414504	0	358.451430472389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470.248170326014
GEL-2320001-11	0	1011.93634335215	681.783370521066	0	1060.88489303058	0	754.207245045281	698.266045412784	1771.13833836461	788.171544822155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	844.612219451374
GEL-2005768-11	0	358.566327683616	0	245.387570621469	0	790.24813559322	0	0	261.913672316384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	559.884293785311
GEL-2988683-11	0	616.882818966537	661.482795317488	684.033345157857	426.957076977652	596.336762445312	0	0	534.197469551851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718.109731583303
GEL-2991047-11	0	1135.90240824482	0	546.712377747397	914.518876853507	431.273109685561	319.332001261962	590.689241770954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	813.571984435799
GEL-2595034-11	871.189595986269	794.628993926591	641.007393715342	306.242408238711	277.719831000792	541.428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357.783205703724
GEL-2994619-11	0	0	483.929661386426	461.432931259991	268.960906844935	0	733.893329457928	289.957854962941	505.426536840576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696.398779247203
GEL-2213519-11	0	2416.02224919094	1070.06694983819	779.684466019417	0	939.119943365696	0	0	618.249797734628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1589.85659385113
GEL-2018524-11	229.718052256532	314.798812351544	0	654.120902612827	224.713301662708	212.70190023753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470.947030878859
GEL-2958464-11	0	0	0	188.181052631579	531.334736842105	540.894736842105	0	254.597894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396.991578947369
GEL-2808113-11	0	0	563.098530369941	679.826250633461	738.941576775501	0	0	0	0	0	0	0	0	3353.54231521031	0	0	0	0	0	0	0	0	0	0	1584.59132701079
GEL-2539587-11	0	651.532393019364	912.844848195075	348.749701171408	460.6693760459	457.671527611762	458.670810423141	292.290222328472	337.257948840545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.313172364333
GEL-2004480-11	0	690.601635815756	1364.66491605682	454.053034868704	0	714.156263452432	514.693671975893	615.928454584589	936.672320275506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530.2297029703
GEL-2119123-11	0	0	0	0	0	0	0	0	3054.94373012581	0	34895.9344670261	0	0	0	0	0	0	0	0	0	0	0	0	0	5432.12180284809
GEL-2637782-11	0	1639.37169993561	1118.11759497746	835.208306503542	0	720.041693496458	0	574.831616226658	780.128622021893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553.300466838379
GEL-2399280-11	0	1529.35279420338	366.724910468893	0	815.388356791872	688.983176480386	0	794.404097609728	722.957691346714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1081.18897309903
GEL-2899817-11	0	294.331167749459	313.384974179577	830.846243544894	0	0	286.809928369149	310.376478427453	346.47842745294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627.772780276528
GEL-2222664-11	0	0	810.384258127597	627.071131752628	0	437.246883402591	507.867514055243	0	0	0	0	0	0	0	919.570765094109	0	0	0	0	0	0	0	0	0	795.859447567832
GEL-2422316-11	0	4386.28634501593	1024.11752389622	650.710059171598	0	0	2010.19353664087	0	842.9197997269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2082.77273554848
GEL-2182103-11	535.762726870297	0	1007.05400619743	587.739707835325	0	558.752545374059	0	0	1629.77822045153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1325.91279327136
GEL-2656421-11	0	0	137.294117647059	516.487394957983	134.779573367809	256.483516483516	174.006464124111	0	183.058823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.89010989011
GEL-2312918-11	0	356.997630331754	0	250.551079515534	1006.72327540811	1089.06872037915	0	421.769352290679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688.889942074773
GEL-2379136-11	0	885.977726396917	0	993.535722543353	1629.87884393064	882.475838150289	0	878.973949903661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220.15791907514
GEL-2412186-11	0	1384.35955192987	1146.36795324486	0	1045.65992938025	0	884.326677219043	0	2916.02337757214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853.262510653837
GEL-2986940-11	0	0	0	453.471589270262	689.256706085953	517.822324776464	0	634.458032881454	882.308912604557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308.68243438131
GEL-2018185-11	330.212004801921	461.495078031213	573.737094837935	627.853781512605	543.672268907563	632.864585834334	0	273.088835534214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731.076350540215
GEL-2326136-11	137.980906921241	0	169.706443914081	103.737470167064	0	371.138424821002	0	131.434367541766	175.749403341289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176.252983293557
GEL-2264916-11	321.068022886205	612.129688493325	0	397.084127993219	0	331.570247933884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698.147912693367
GEL-2543215-11	0	863.418181818182	447.698316498316	378.245117845118	0	355.260606060606	233.842424242424	269.318518518519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420.216835016835
GEL-2446803-11	0	378.841144659757	202.18206399279	0	0	276.248760703019	336.302839116719	231.208201892744	293.264082920234	157.641955835962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345.310950878775
GEL-2195528-11	0	1706.87487179487	1115.57179487179	597.80641025641	614.314871794872	779.899743589744	1128.07820512821	0	709.863846153846	563.288717948718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588.30153846154
GEL-2267682-11	0	1602.837325612	1750.28231113451	692.590221110819	0	0	894.198670702817	531.60436957094	793.394445906818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1356.0926559621
GEL-2412779-11	697.980145351015	2201.20686296546	1168.95459653855	419.087435378737	0	0	0	0	518.371244474414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1653.39971529182
GEL-2334828-11	0	450.478105451296	126.930294906166	266.802502234138	147.338695263628	209.061662198391	0	186.164432529044	173.222520107239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.001787310098
GEL-2352785-11	1181.17656165338	840.414118739841	0	0	800.941636349563	730.490750058054	1097.23508011456	0	878.887297778466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925.854555306136
GEL-2307915-11	1398.05330243337	0	0	0	842.339642075447	759.15797605253	1331.40775074031	0	1289.81691772885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2163.22441096949
GEL-2191819-11	258.218592964824	155.031825795645	0	303.01675041876	153.018425460636	414.760469011725	0	0	197.313232830821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321.640703517589
GEL-2020655-11	0	1802.97332814173	773.274116616373	784.270904312275	0	448.36902560109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1326.11262532853
GEL-2720138-11	0	198.705882352941	0	266.446524064171	234.332442067736	471.173796791444	0	0	187.164884135472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331.176470588236
GEL-2163288-11	0	263.0611485701	459.106719367589	0	170.539641943734	281.565449895373	309.5719600093	0	284.066031155545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383.089049058359
GEL-2065505-11	0	0	0	154.890756302521	134.643598615917	256.126544735541	0	175.137913989125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303.201186356896
GEL-2826744-11	0	1666.64570230608	665.35464709993	0	0	457.776030747729	528.974493361286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986.249126484975
GEL-2404286-11	195.815395252362	0	160.758930629177	203.828301451947	0	371.598525005762	0	0	0	0	740.192210186679	0	0	0	0	0	0	0	0	0	0	0	0	0	500.806637474073
GEL-2335676-11	0	843.976576576577	0	319.922522522523	682.268468468468	562.983783783784	0	498.100900900901	373.326126126126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320.421621621621
