GEL-Breast_common_SBS13	GEL-Breast_common_SBS5	GEL-Breast_common_SBS8	GEL-Breast_common_SBS2	GEL-Breast_common_SBS3	GEL-Breast_common_SBS18	GEL-Breast_common_SBS1	GEL-Breast_common_SBS127	GEL-Breast_common_SBS17	GEL-Breast_rare_SBS44	GEL-Breast_rare_SBS6	GEL-Breast_rare_SBS26	GEL-Breast_rare_SBS57	GEL-Breast_rare_SBS116	GEL-Breast_rare_SBS7a	GEL-Breast_rare_SBS96	GEL-Breast_rare_SBS30	GEL-Breast_rare_SBS87	GEL-Breast_rare_SBS94	GEL-Breast_rare_SBS4	GEL-Breast_rare_SBS124	GEL-Breast_rare_SBS105	GEL-Breast_rare_SBS31	GEL-Breast_rare_SBS23+114	GEL-Breast_rare_SBS33+114	GEL-Breast_rare_SBS136	GEL-Breast_rare_SBS123	GEL-Breast_rare_SBS114	unassigned
GEL-2113691-11	2148.99348425759	0	731.965043279749	2222.83862836488	954.997336630838	761.403310187387	2825.07571578046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845.726481499096
GEL-2159608-11	0	899.511619676772	0	1549.46514096968	0	0	902.017223074201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897.006016279347
GEL-2001262-11	0	381.981265206813	0	0	212.825304136253	188.731873479319	710.254257907543	332.288564476886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236.918734793186
GEL-2454193-11	0	752.176785714286	0	0	0	240.355357142857	802.857142857143	279.996428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.614285714285
GEL-2573089-11	0	0	2459.99908910505	0	2424.47021698819	0	0	3572.40307101727	0	0	0	0	0	4125.35241875142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2799.77520413807
GEL-2942633-11	0	1008.3630621146	0	0	596.306061061814	0	600.812152203339	464.628064370582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658.890660249665
GEL-2423803-11	50866.3610345404	0	0	6960.58095438974	5193.925886058	0	5424.01120073314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326.120924278715
GEL-2748421-11	0	658.523112736947	557.825407382774	0	562.311938809445	514.45560359162	1359.9175257732	382.850681742601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461.115729963413
GEL-2645592-11	0	888.395921663638	0	0	209.210983242479	0	694.700585503735	262.764990914597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423.927518675551
GEL-2658029-11	0	834	303	0	0	322	1074.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482.5
GEL-2472349-11	0	702.008462623413	0	0	0	0	995.593794076164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780.397743300423
GEL-2220424-11	2067.92130546751	0	5731.55353605388	0	6641.45891937401	1322.58924326466	0	1493.66546156894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2943.811534271
GEL-2426595-11	0	633.968737312221	254.58587088916	0	0	184.699553390175	887.556232237109	237.613479496549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.576126674786
GEL-2622518-11	0	393.414808400087	0	237.948473695605	260.943494262827	0	792.328426066248	253.445117990907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370.919679584326
GEL-2168593-11	1543.01544027053	2695.53312187066	5516.90439615173	0	4612.5675151388	1506.06296694367	0	1476.6008598317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1698.31569979291
GEL-2128139-11	219.741913859561	594.301994301994	256.698508463214	276.675046086811	0	0	1046.77057147645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585.81196581197
GEL-2551246-11	565.826797385621	0	0	782.069518716578	451.462863933452	883.948306595365	1377.86066547831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981.831847890674
GEL-2733724-11	0	552.254495159059	0	0	213.598432457354	0	837.385892116183	204.59428307976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362.166897187644
GEL-2005815-11	663.470156399617	1008.19486115544	702.938637089052	773.881982125758	0	689.44940951165	1497.80386211299	479.616980529844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445.64411107565
GEL-2910901-11	0	799.80872193437	0	464.598445595855	392.161053540587	366.683074265976	956.173575129534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491.575129533678
