GEL-Bladder_common_SBS13	GEL-Bladder_common_SBS17	GEL-Bladder_common_SBS92+100	GEL-Bladder_common_SBS1	GEL-Bladder_common_SBS2	GEL-Bladder_common_SBS2+13+107	GEL-Bladder_common_SBS92	GEL-Bladder_rare_SBS57	GEL-Bladder_rare_SBS94	GEL-Bladder_rare_SBS23	GEL-Bladder_rare_SBS109	GEL-Bladder_rare_SBS31	GEL-Bladder_rare_SBS33	GEL-Bladder_rare_SBS6	GEL-Bladder_rare_SBS20	GEL-Bladder_rare_SBS4	GEL-Bladder_rare_SBS147	GEL-Bladder_rare_SBS105	unassigned
GEL-2087566-11	0	0	1659.88494305028	0	0	4162.95744976387	1018.12274284656	0	0	0	2711.49527734049	0	0	0	0	0	0	0	1242.5395869988
GEL-2363601-11	6140.73271989106	4633.28929785041	5238.06600231632	0	59343.0893563947	0	0	0	0	0	0	0	0	0	0	0	0	0	3188.8226235475
GEL-2850060-11	4477.32369645815	0	0	0	4514.34704583103	5882.71002603139	19365.7132996766	0	0	0	0	0	0	0	0	0	0	0	3814.90593200283
GEL-2208643-11	11262.0135416553	2769.47880981715	0	3669.45936958252	6737.09738652594	3823.54164440616	2967.08432460722	0	0	0	0	14598.295005288	0	0	0	0	0	0	56.0299181177106
GEL-2580809-11	1451.93575798776	0	7553.06477614839	0	3880.99179372633	0	5201.97844032242	0	0	0	0	0	0	0	0	0	0	0	2498.0292318151
GEL-2612253-11	13449.9762071637	0	3333.73768859051	2949.65269836586	2461.54468995537	0	0	0	0	0	0	0	2765.11186321886	0	0	0	0	0	2154.9768527057
GEL-2901373-11	0	0	747.929680015329	718.412722743821	0	820.971642077026	0	0	0	0	0	0	0	0	0	0	0	0	323.685955163824
GEL-2431626-11	3071.65266942541	3415.61377563711	7128.69391493114	0	0	0	5140.91868484725	0	0	0	0	0	0	0	0	0	0	0	3352.12095515909
GEL-2521884-11	541.195695424127	0	913.830439500814	702.754114668114	0	0	2568.92892023874	0	0	0	0	0	0	0	0	0	0	0	804.290830168206
GEL-2132343-11	1676.53900589722	1709.02038753159	1150.34062342039	1121.35723673126	1403.69540016849	4729.28916596462	1780.47942712721	0	0	0	1258.27875315923	0	0	0	0	0	0	0	0
GEL-2233602-11	869.468839524726	0	1116.81773352745	2778.80242333161	0	0	4733.10853332081	0	0	0	0	0	0	0	0	0	0	0	1141.8024702954
GEL-2706492-11	7027.93833120787	0	0	1411.48551648752	3329.78629987247	0	2983.91237019494	0	0	0	0	0	0	0	0	0	0	0	1707.8774822372
