GEL-Uterus_common_SBS17	GEL-Uterus_common_SBS3+8	GEL-Uterus_common_SBS1	GEL-Uterus_common_SBS18	GEL-Uterus_common_SBS13	GEL-Uterus_common_SBS2	GEL-Uterus_rare_SBS44	GEL-Uterus_rare_SBS10a	GEL-Uterus_rare_SBS20	GEL-Uterus_rare_SBS26_a	GEL-Uterus_rare_SBS10d	GEL-Uterus_rare_SBS14_a	GEL-Uterus_rare_SBS31	GEL-Uterus_rare_SBS5	GEL-Uterus_rare_SBS9	GEL-Uterus_rare_SBS26_b	GEL-Uterus_rare_SBS18+44	GEL-Uterus_rare_SBS14_b	unassigned
GEL-2130588-11	0	0	0	0	0	0	0	637438.156253189	0	0	0	0	0	0	0	0	0	0	14238.843746811
GEL-2520017-11	0	550.054939566477	2451.24483068625	1531.15293177505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473.547297972223
GEL-2328264-11	0	1837.74949000408	1017.30776553788	321.281381748946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497.661362709094
GEL-2301812-11	0	0	0	0	0	0	0	2031748.61484802	0	0	0	0	0	0	0	0	0	0	99843.38515198
GEL-2387876-11	0	8599.6198384885	0	2890.38054243486	882.768931890903	0	0	0	0	0	0	0	0	0	0	0	0	0	757.230687185738
GEL-2789170-11	6202.40830499891	3972.19977573609	0	0	0	0	41674.8668885191	0	0	0	0	0	0	0	0	0	0	0	3410.5250307459
GEL-2956227-11	718.930497303775	2241.34212103056	2001.19832234871	539.823247453565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343.705811863389
GEL-2373476-11	10918.281843124	0	4745.4263915511	0	0	0	60131.0743413387	0	0	0	0	0	0	0	0	0	0	0	4050.21742398619
GEL-2720459-11	409.992539699456	2112.30949589683	1369.63444527337	421.96312480017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366.100394330174
GEL-2477012-11	0	562.676252142449	2309.82860407541	1778.71833936393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610.776804418211
GEL-2624627-11	0	544.055714870955	1041.97951659156	519.485456780008	0	294.341663252765	0	0	0	0	0	0	0	0	0	0	0	0	48.1376485047122
GEL-2013336-11	0	0	2808.86807738226	0	0	0	33869.9966011256	0	0	0	0	0	0	0	0	0	0	0	4384.13532149214
GEL-2959462-11	526.250971303933	1658.79108445232	2378.13414218526	1438.68611546588	0	1026.4895371822	0	0	0	0	0	0	0	0	0	0	0	0	310.648149410407
GEL-2877376-11	0	452.477960242005	1944.7562662057	674.222126188418	0	237.226303658888	0	0	0	0	0	0	0	0	0	0	0	0	158.317343704989
GEL-2715460-11	0	2208.88266227558	0	0	0	0	30718.8681876129	0	0	0	0	0	0	0	0	0	0	0	4722.24915011152
GEL-2225355-11	0	0	23179.3473908154	0	0	0	58380.1543689025	0	0	0	0	0	0	0	0	0	0	0	752.498240282104
GEL-2584125-11	0	1286.04047038881	1770.3088250874	1071.19959741498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599.45110710881
GEL-2108745-11	0	3620.9207288198	3986.66524350369	0	0	0	55283.4591805287	0	0	0	0	0	0	0	0	0	0	0	3671.95484714781
GEL-2178035-11	0	0	5504.31613117887	0	0	0	49116.1289095159	0	0	0	0	0	0	0	0	0	0	0	4016.55495930523
GEL-2279238-11	0	5443.21803521663	5610.72474491694	0	0	0	71046.3458542922	0	0	0	0	0	0	0	0	0	0	0	5276.71136557423
GEL-2632771-11	0	2281.84978625352	3965.08313373556	0	0	0	24409.6363732832	0	0	0	0	0	0	0	0	0	0	0	2360.43070672772
GEL-2230275-11	0	4932.06306334115	1369.26682306458	1013.93807877516	7707.1305099395	0	0	0	0	0	0	0	0	0	0	0	0	0	1190.60152487961
GEL-2649482-11	0	608.672404518558	1894.98009682625	484.239376008607	0	335.319526627219	0	0	0	0	0	0	0	0	0	0	0	0	392.788596019366
GEL-2242237-11	0	533.395894428152	1356.55008488964	890.329989195864	0	225.590368884087	0	0	0	0	0	0	0	0	0	0	0	0	242.133662602257
GEL-2041320-11	0	1221.5	1181	444.5	0	411.5	0	0	0	0	0	0	0	0	0	0	0	0	205.5
