ICGC-Bone_SoftTissue_common_SBS5	ICGC-Bone_SoftTissue_common_SBS122	ICGC-Bone_SoftTissue_common_SBS18	ICGC-Bone_SoftTissue_common_SBS3	ICGC-Bone_SoftTissue_common_SBS1+5	ICGC-Bone_SoftTissue_common_SBS2+13	ICGC-Bone_SoftTissue_common_SBS8	ICGC-Bone_SoftTissue_common_SBS17	ICGC-Bone_SoftTissue_rare_SBS31	ICGC-Bone_SoftTissue_rare_SBS30	unassigned
35c797fd-ca81-4cef-b6c4-7e3776f661b3	0	515.932815241915	863.233893206317	1190.45976435197	0	963.108047129606	1599.9939834545	0	0	0	873.271496615692
3db6e6cc-1a06-49b9-834e-b6611cde4c4b	593.063072227874	0	269.482197355036	0	302.345879959308	562.727365208545	0	0	0	0	260.381485249237
67bb70b2-b6f8-4aa9-80ce-48829f9fec56	1146.96335713323	0	0	720.290987471373	0	1299.52498989627	0	0	0	0	546.220665499127
cb783f8b-d092-4104-b809-3f90b19df7df	871.897385298471	468.676073014307	0	652.548988653182	743.486137148495	747.983029107055	1203.66808090775	0	0	0	375.74030587074
968929b0-6bfb-4a2c-bd4d-570bfcdb8a6a	1112.88186932064	0	0	0	0	635.646040675032	0	0	0	0	568.472090004328
075fc96d-6742-4ef3-9369-482592ad3a2f	661.475797776981	0	488.304051631409	750.578702043743	710.809609178917	1482.02796701327	0	0	0	0	118.80387235568
a2f02ff7-8433-4cb5-9324-34f13edeaca1	799.367620427381	314.841724013039	0	0	701.761680550525	1165.76530242666	977.561028612821	0	0	0	186.702643969574
7d734d06-f2b1-4924-a201-620ac8084c49	772.432694097933	0	263.512195121951	0	468.689629491715	898.657047104822	0	0	0	0	297.708434183579
9d691fa3-5c32-4b98-85c4-f6e0fd4c37e0	728.615384615385	320.770921386306	410.846999154691	521.440405748098	296.250211327134	533.450549450549	689.582417582418	0	0	0	51.0431107354188
df4366c4-170f-4233-b577-a8ea277b069c	1177.06798160131	0	888.192328681687	490.486785686443	603.32883760817	1356.61222421455	1435.35090044438	0	0	0	481.96094176346
72f0a49a-aec8-47e5-846a-956c4da1507c	1209.88904494382	0	1177.29775280899	0	0	2106.40028089888	637.285112359551	0	0	0	938.127808988759
3c963890-6e79-4b16-a4aa-bac04938b4d7	0	483.27170448153	691.888993062066	1026.57716107257	697.392087005438	433.243577723608	1631.91749484343	0	0	0	371.708981811358
db650eff-4e2c-4ce3-9124-7697b6e03359	215.864556962025	0	0	0	121.584810126582	391.544303797468	0	0	0	0	85.0063291139249
9e7b51fb-2249-451a-bf23-bb2a3d935928	670.816169154229	701.993532338308	693.94776119403	977.561194029851	427.431592039801	451.066044776119	0	0	0	0	120.183706467662
