ICGC-CNS_common_SBS5	ICGC-CNS_common_SBS1	ICGC-CNS_common_SBS126	ICGC-CNS_common_SBS8	ICGC-CNS_common_SBS18	ICGC-CNS_common_SBS120	ICGC-CNS_rare_SBS11	ICGC-CNS_rare_SBS23	unassigned
9beb4126-0112-4c06-80a3-e5dd1c2b88d5	201.060368921185	101.282280603689	161.951369480157	0	231.645612073784	126.352152040246	0	0	74.7082168809389
ed46bb2e-97e3-4914-a086-de80e00d6ee8	0	0	213.265328269126	422.506782419967	129.769940314704	108.644601193706	0	0	52.813347802497
906f6f1e-569d-4ce2-9273-1f305782f77f	458.051172707889	169.409381663113	406.383795309168	0	268.272921108742	211.637526652452	0	0	117.245202558636
e23462f2-cb86-4a3e-8521-221f4bec247c	139.099002849003	171.622150997151	0	217.154558404558	807.574786324786	0	0	0	69.5495014245021
706a1085-5994-4d04-b56b-d301c9ed5afa	101.255639097744	130.473684210526	0	0	87.6541353383459	0	0	0	82.6165413533842
880e6970-0131-4966-b13e-8614d33f0df7	0	95.5507020280811	0	103.513260530421	289.638065522621	0	0	0	149.297971918877
ac1bd179-8285-468c-ab9f-7f91151ca0f2	492.363136176066	960.56121045392	0	0	555.796423658872	0	0	0	187.279229711142
2abe2e53-ad9b-4fbc-b9a7-93444f1bea87	703.983271073575	673.919928536625	0	457.463862270586	915.929835959071	0	0	0	333.703102160143
1f8d8720-30ca-4057-90f7-a34b8383eafe	307.149639194835	255.708317508545	0	283.676414736043	124.857576908469	240.725408279529	0	0	102.882643372579
3e1180a5-149c-4e6c-9a29-696e3ba567e3	563.169597277368	1021.37568538476	0	0	646.938551711099	244.242011722443	0	0	193.27415390433
0e1e628b-823a-4861-aa95-bed2fada7349	250.335565974548	618.062960482251	0	0	450.503683858004	0	0	0	179.097789685197
