ICGC-Lymphoid_common_SBS9	ICGC-Lymphoid_common_SBS169	ICGC-Lymphoid_common_SBS100	ICGC-Lymphoid_common_SBS1	ICGC-Lymphoid_common_SBS17	ICGC-Lymphoid_common_SBS127_a	ICGC-Lymphoid_common_SBS18	ICGC-Lymphoid_common_SBS3	ICGC-Lymphoid_common_SBS101	ICGC-Lymphoid_common_SBS127_b	ICGC-Lymphoid_common_SBS5+8	unassigned
513bafce-375c-49b0-ae75-6c607abd05d8	617.165105699759	0	0	391.104629381857	0	335.589777896709	286.076531977522	0	0	0	1230.82927481937	877.234680224783
a1724132-f95c-4622-8987-fe3183b9dce3	0	0	0	0	0	0	179.414194915254	0	274.66498940678	0	973.170815677966	475.75
f1fdacf3-2bb5-400c-895d-ec7f472fa0d4	300.7038978801	0	0	203.653977661272	151.860496922726	395.239571461135	242.373375883292	0	0	0	481.226806473672	430.941873717803
631eedb3-dbd1-4606-90e1-ea91b9a77a5a	0	0	0	597.969290573372	0	320.555685131195	0	0	270.892128279883	0	936.584450923227	454.998445092323
dabdd983-a819-410e-bfb8-5c66a66cf5ab	0	0	0	446.289840123775	0	0	0	0	208.570139247035	0	891.071944301186	403.068076328004
5b4b2312-acb5-4329-8d46-7f93213e3daf	628.899971338492	0	0	365.523072513614	0	549.786758383491	0	0	310.444253367727	0	911.304098595586	728.04184580109
c13d7ee5-2bf0-43e4-9cd3-9326ed9355cf	955.732651245552	0	0	690.558274021352	0	450.997330960854	526.330960854092	0	454.512900355872	0	1555.38834519573	1011.47953736655
0b6cd7df-6970-4d60-b7b5-85002a7d8781	396.801929153501	344.328122401464	0	499.250789955097	0	0	0	0	0	0	789.106103442541	975.513055047397
08f7812b-0d74-42ba-985b-d0a027e8a80c	359.51047844998	0	0	205.434559114274	0	121.023329379201	0	0	0	0	303.066824831949	296.964808224596
6ea6b5e4-cdc4-4e3a-bde2-8089d2a4d7eb	0	0	0	392.750219106047	0	0	101.973707274321	0	0	0	432.631025416301	224.645048203331
aa847c3d-d3a7-46aa-a81b-db5099a458fb	939.366145944789	0	0	1330.89435765746	782.553819815964	1445.99058420715	0	0	683.038305157287	0	669.46800770383	1194.68877951352
1b1780d5-06da-40ee-9e15-02631a68027b	1274.39066655229	0	1059.40911040576	2900.75113665609	0	1002.91395727889	1190.89782963027	0	1602.86248605988	1393.88041520117	0	1230.89439821565
fa676301-902f-473f-8313-5bff34ae549a	0	0	2929.54052427605	4117.13809787449	0	2515.03001709073	2470.58250487447	1469.76436463423	2463.09135113015	1653.0479262451	0	3128.80521387478
897a4500-6fb8-4e81-aa07-021a26d632fb	2052.94359196023	0	2071.94769829263	2868.11973200778	15102.7633455803	0	0	5062.09379727685	3724.30473308839	0	0	3827.82710179382
a29278af-7ecf-403e-b6a9-623ea7879d05	4637.46462053571	0	0	0	3688.1765625	2591.92131696429	0	0	2016.54977678571	0	1383.69107142857	3598.19665178572
e89e9c69-ffcd-4a4c-818d-1dee43ddc76a	0	0	0	2150.85483870968	899.82187056198	1299.13035098397	1708.9601339014	0	1274.07963075675	0	995.014607425441	1550.13856766078
bd403458-5154-488b-931a-a7e737a6bf8c	2104.95777853647	0	0	1931.37879822465	1826.83122795038	3162.93917150336	1579.21856151132	3294.49903266189	1074.98913167179	1253.57038807329	0	1353.61590986685
abedd46c-47b8-4242-adb6-12835400cb3f	3105.06660611565	3899.74719951559	0	2522.33424159855	3250.37390251287	3248.36966394187	0	0	0	2206.16560702392	0	4937.94277929155
890e840c-1d1d-4874-a8eb-f9d9a2b50a1c	3132.98339106493	1198.02321106078	0	2133.71288154661	1096.89463244219	2562.75838588389	1616.55534831394	0	0	1966.50028125648	1126.43218758327	2076.13968084791
05616329-e7ba-4efd-87b1-d79cd0f7af3d	1172.08875286917	775.381790359602	0	1501.17521040551	1035.34506503443	1562.28411119612	0	0	746.330017852589	1087.93879112471	968.22545269064	971.23080846723
e2fa7251-507e-4d76-95a3-a228adc3885a	1322.46393230055	0	0	1020.81430423804	651.243567870061	716.168156691463	0	0	556.353784208012	873.98484951887	904.948884187538	1272.02252098547
4d1a4587-adb4-4a65-943e-f19efe8de142	0	0	0	685.04693877551	0	257.585714285714	272.708163265306	0	311.522448979592	0	0	449.136734693878
aa20b9ab-dba9-4002-ad45-cafa2f85cef7	0	0	0	849.656669912366	0	341.464849074976	0	0	220.800584225901	0	284.387147030185	874.690749756572
22578b9f-78dc-464c-9bb9-382f033283d0	0	0	235.78349888506	773.711737279546	377.052503547537	198.580985201703	229.750658828299	0	259.412122440705	0	0	405.70849381715
2b02e3ad-4423-491e-993a-561e80dc7bcf	0	0	0	922.48513830286	1207.59868729489	740.593717768401	0	433.432723863104	0	0	656.913642756681	1382.97609001406
578ba169-1d2f-4187-b174-082bbc6a5bd2	553.652228499686	0	0	950.403013182674	324.795982423101	699.560577526679	641.596986817326	0	0	0	0	809.991211550534
81b4dd02-34ec-4ddc-8818-ed888a60ad88	318.924119885823	0	0	835.801141769743	0	0	409.902473834443	0	354.91555661275	0	1018.25773073264	1265.1989771646
28f8d45f-4763-472e-9c4d-6787ba00164b	0	0	0	526.715025906736	182.440414507772	307.082901554404	219.129533678756	0	280.948186528497	0	308.088082901554	503.595854922281
bc1d5327-2e76-4e0e-b749-72a559469d0d	0	0	2150.54411180528	0	0	0	3567.1843198151	3618.35191939619	0	0	2035.6678343144	2519.25181466903
fce8d8c6-f2a0-43a8-9a7a-b9c519a6686c	0	13173.3411063028	17999.8669252674	0	7078.57126841409	0	0	0	0	0	0	6338.22070001571
f04aecf0-eb12-4ab9-928e-7bcf201b0b40	607.154668023404	0	0	908.724879165607	0	0	0	0	336.694861358433	429.02251335538	731.094505214958	932.308572882218
2439ec74-1713-4d47-a5d9-886f69dddcb6	2778.57711261179	1879.44880452637	0	1963.14692462128	1360.72093447709	0	1407.83245117722	0	1128.67165541157	2420.73006022997	1271.50976455558	2265.36229238913
f60007b3-0603-4ad1-8b47-d2d4c4c621e4	0	351.169851887243	0	1095.08886765408	455.368609651218	337.1430960344	291.556139512661	0	0	553.555900621118	445.850453893932	664.267080745348
650fe009-da01-4717-89df-9c95fafe3d7e	1433.04011887073	0	451.11441307578	1061.62258543834	0	0	0	0	0	1813.98117880139	690.706290242695	1633.53541357106
f9837a56-7244-4846-a63d-266e6a92f168	0	0	0	881.204936667749	0	0	711.99350438454	330.389087366028	698.938616433907	0	1375.78434556674	639.689509581036
76788f17-257d-47c7-ad85-ac5f959216b5	289.693919194667	0	0	633.39001496395	389.118487280642	805.995102707115	373.977690110189	344.705482247313	0	310.891035233302	352.27588083254	209.952387430282
df814571-57f1-4e55-bc1a-c892c568c4ba	450.460598006644	0	0	855.975016611296	396.025780730897	735.119734219269	0	0	257.192026578073	0	339.593355481728	723.633488372093
874f64e9-8a0d-4f88-92c4-7e831842b1d1	226.151012891344	0	0	638.750971966442	221.627992633518	425.666462042153	0	223.135666052793	221.627992633518	0	0	499.039901780232
bd6bd940-ef06-433a-80d9-dca5683e9cd2	0	418.814543404735	0	1301.97782788425	0	0	574.431416760616	0	456.342728297632	450.338218714769	974.231679819617	1149.86358511838
2b36ac4b-eed3-4591-8b4f-b44049dfc5ed	0	0	0	582.939499524865	1164.8739309471	291.972283813747	0	0	297.500158378207	0	0	835.714127336081
baa02e74-9cae-4996-858e-17d9f52d924b	1140.46894359748	0	0	1358.5805096159	0	1059.11382858374	0	0	716.224478801918	2127.21165759845	1007.70538167322	1855.69520012929
4d72d06d-b6af-4294-9eef-6e61e067761f	1070.62490697097	1100.71272637063	0	1585.6280823617	0	924.698982882659	0	790.306722897544	0	2258.09084594393	1675.39007690399	701.547655668577
068f4f69-d2fe-4f25-912e-ca7d4623efb6	712.98442264351	0	0	1355.11944849529	505.425626408591	0	820.75533607318	0	0	849.194882672676	1692.40249237704	1591.11779132971
dc4bc4c4-2cc1-4a2e-a9f2-613088af17bf	757.849732788431	0	0	972.241433511474	1974.39798805407	1262.91669286388	1204.58220685319	0	0	0	0	1758.01194592896
41dba8d1-8aad-474c-a82b-20b28ab818bd	586.016868512111	0	0	1257.75562283737	0	0	1349.49307958477	840.676038062284	0	887.798010380623	2819.79887543253	1530.46150519031
