GEL-Myeloid_common_SBS5_a	GEL-Myeloid_common_SBS1	GEL-Myeloid_common_SBS17	GEL-Myeloid_common_SBS18	GEL-Myeloid_common_SBS100	GEL-Myeloid_common_SBS8	GEL-Myeloid_common_SBS124	GEL-Myeloid_common_SBS5_b	GEL-Myeloid_common_SBS2+13	GEL-Myeloid_common_SBS9	GEL-Myeloid_rare_SBS57	GEL-Myeloid_rare_SBS31	unassigned
GEL-2207225-11	0	0	1081.67364471216	0	886.962377801916	791.358645205885	0	0	0	793.360817616273	0	0	1515.64451466377
GEL-2476295-11	496.004084411164	320.884275017018	0	135.641933287951	0	0	0	248.002042205582	0	0	0	0	286.467665078285
GEL-2630916-11	541.615718418515	156.902603664417	0	0	0	0	0	0	0	0	0	0	344.481677917068
GEL-2700504-11	431.12872031804	0	1324.64929622865	0	720.060599548727	0	0	0	0	1134.54926399484	0	0	1082.61211990974
GEL-2264666-11	658.253174297807	230.388611004232	0	0	0	0	0	0	0	0	0	0	427.358214697961
GEL-2260658-11	491.998435789144	1199.43406851244	0	607.23228531206	266.540904113875	0	0	0	0	0	0	0	637.794306272481
GEL-2527495-11	489.110142180095	0	801.318767772512	395.397440758294	0	695.578767772512	0	709.610616113744	432.982748815166	1304.46075829384	0	0	458.540758293837
GEL-2758447-11	366.329693187728	278.289131565263	0	0	0	0	0	124.977119084763	0	0	0	0	203.404056162246
GEL-2676462-11	452.188172043011	294.471326164875	0	0	0	0	0	0	0	0	0	0	367.340501792114
GEL-2362488-11	247.279843444227	252.367906066536	0	164.853228962818	0	0	0	0	0	0	0	0	375.499021526419
GEL-2549406-11	432.729657228018	342.831594634873	0	448.474515648286	0	0	0	217.888524590164	0	0	0	0	262.075707898659
GEL-2492000-11	319.610848198034	336.273025118311	0	172.680742628322	0	142.385875500546	0	0	0	0	0	0	416.049508554787
GEL-2524976-11	697.385365853659	233.131707317073	0	0	0	130.634146341463	0	0	0	0	0	0	277.848780487805
GEL-2427384-11	454.05574912892	229.073170731707	0	0	0	122.717770034843	0	216.801393728223	0	0	0	0	151.351916376307
GEL-2616355-11	581.072417735993	0	524.823402363105	0	818.121839664591	0	0	0	253.622792529539	852.273027569559	0	0	923.086520137213
GEL-2225678-11	1052.98482446206	373.26704416761	0	0	0	0	0	194.922763306908	0	0	0	0	596.825368063422
GEL-2964140-11	0	0	3544.19529206626	2596.77186864284	3228.05347282767	0	0	801.12641673932	0	0	0	0	1897.85294972391
GEL-2315659-11	0	0	2288.30550898204	930.60754491018	1367.68838323353	610.914131736527	0	0	0	1582.98191616766	0	0	1561.50251497006
GEL-2230252-11	563.941950464396	443.424148606811	177.979876160991	245.103715170279	0	430.202786377709	254.765479876161	429.185758513932	0	0	0	0	83.396284829721
GEL-2592614-11	0	0	530.956180510137	835.357750163506	0	1250.54153041203	1307.92871157619	1117.30346631785	571.376716808371	737.051013734467	0	0	1279.48463047745
GEL-2167616-11	0	0	0	0	2215.36077999482	602.734192796061	0	0	2138.831044312	1085.92193573465	0	0	1678.15204716247
GEL-2989504-11	584.959165154265	165.38112522686	0	0	0	0	0	132.202813067151	0	0	0	0	242.456896551724
GEL-2865568-11	522.929752066116	157.081611570248	0	0	0	0	0	109.450413223141	0	0	0	0	191.538223140495
GEL-2005147-11	317.330309139785	364.041330645161	0	200.552755376344	0	181.766801075269	0	216.292338709677	0	0	0	0	231.016465053764
GEL-2385140-11	333.189189189189	70.8803088803089	0	0	0	0	0	0	0	0	0	0	131.930501930502
GEL-2601999-11	492.67533104463	0	0	0	0	0	0	0	0	0	0	2235.16331535066	395.16135360471
GEL-2032644-11	0	0	2831.47283661197	1745.87452859036	3507.78004280909	0	0	1354.11731729691	0	2872.05126898379	0	0	2433.70400570788
GEL-2378188-11	0	0	597.926046653764	0	0	1249.39024141795	0	702.000203728227	0	930.663135377407	0	0	1432.02037282265
GEL-2460732-11	587.733990147783	254.48275862069	0	0	0	0	0	0	0	0	0	0	387.783251231527
GEL-2901088-11	421.73601901664	337.78856499437	397.751032153134	299.312648567497	0	681.073689478293	0	771.017390216439	0	452.716627048668	0	0	632.604028524959
GEL-2677787-11	574.319169027384	436.862448851117	0	0	0	191.439723009128	0	0	0	0	0	0	385.378659112371
