GEL-Ovary_common_SBS8	GEL-Ovary_common_SBS3	GEL-Ovary_common_SBS17	GEL-Ovary_common_SBS5	GEL-Ovary_common_SBS1+18	GEL-Ovary_common_SBS13	GEL-Ovary_rare_SBS44	GEL-Ovary_rare_SBS26	GEL-Ovary_rare_SBS6	GEL-Ovary_rare_SBS1	GEL-Ovary_rare_SBS111	GEL-Ovary_rare_SBS31	GEL-Ovary_rare_SBS116	GEL-Ovary_rare_SBS57	GEL-Ovary_rare_SBS2	GEL-Ovary_rare_SBS103	GEL-Ovary_rare_SBS14	GEL-Ovary_rare_SBS30	GEL-Ovary_rare_SBS10a	unassigned
GEL-2759320-11	7685.34813265902	7176.92817545225	0	1814.99919762692	2105.23893697724	1341.10776113597	0	0	0	0	0	0	0	0	0	0	0	0	0	457.377796148601
GEL-2642529-11	0	0	0	9458.13746672467	4229.90314944953	0	52248.8320563966	0	0	0	0	0	0	0	0	0	0	0	0	1891.1273274292
GEL-2654974-11	9723.54083438685	4341.90189633375	0	1864.52844500632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1863.02882427308
GEL-2790739-11	1966.7354404842	1893.24532616005	0	1432.80726294553	1064.35682582381	954.871553463349	0	0	0	0	0	0	0	0	0	0	0	0	0	121.983591123061
GEL-2386993-11	5226.63333904623	5509.30279789194	0	2517.50923347187	1832.59863318908	0	0	0	0	0	0	0	7487.48870988474	0	0	0	0	0	0	779.467286516141
GEL-2346425-11	0	282.449351451513	0	821.44441012971	339.736256948734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.369981470043
GEL-2225580-11	1827.68841456706	1173.83650566619	0	500.004400924194	487.017273627462	479.524700187039	0	0	0	0	0	0	0	0	0	0	0	0	0	71.9287050280554
GEL-2013392-11	0	308.958801498127	0	949.985518102372	656.097877652934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.957802746567
GEL-2665622-11	9034.78249498343	6817.03602912993	0	3572.56433612157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2724.61713976507
GEL-2373011-11	0	533.44440509915	0	1863.03700424929	2948.00867563739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329.50991501417
GEL-2093317-11	1196.621669627	1224.17051509769	0	1591.3214920071	1174.58259325044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.30373001777
GEL-2464228-11	1000.81388925424	555.841246876233	0	1088.70971984743	866.473102722609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285.162041299488
GEL-2566339-11	3030.14591064272	4091.62065212013	0	977.09598733363	916.183513928059	796.355697392509	0	0	0	0	0	0	0	0	0	0	0	0	0	279.598238582952
GEL-2434035-11	1216.38739573679	1602.87501654972	0	2624.52058784589	1739.69363166954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359.52336819806
GEL-2250960-11	3007.31916516811	3505.95498882895	0	1183.82246199117	0	713.694403574737	0	0	0	0	0	0	0	0	0	0	0	0	0	767.208980437033
GEL-2758583-11	3486.88913922884	3508.41005683855	0	1282.2463003738	718.698550873061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777.755952685749
GEL-2307389-11	1756.64772036474	1429.67862208713	0	984.900810536981	602.521681864235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.251165146914
GEL-2099384-11	3996.16183908046	1392.85931034483	0	1551.28643678161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668.6924137931
GEL-2270470-11	10609.5369921794	6129.00941241608	0	2521.76683507509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2432.68676032943
GEL-2648862-11	1460.85270412335	879.01308258381	0	743.433944632636	988.076743371102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211.623525289102
GEL-2964230-11	5599.69737856592	2120.1716461064	0	1343.82719737857	760.316692367001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569.987085582108
GEL-2713673-11	2636.26910892698	1673.66257818211	0	964.109820485745	0	408.393712939647	0	0	0	0	0	0	0	0	0	0	0	0	0	486.564779465518
GEL-2814146-11	1388.4012409514	1535.02119958635	0	1125.08376421923	1320.57704239917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417.91675284385
GEL-2682826-11	564.63106184658	572.654238569089	0	1277.69089305958	1327.83574757526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238.188058949491
GEL-2743409-11	643.87941633953	941.592474631509	0	936.597289089697	556.963187912007	3404.71846529887	0	0	0	0	0	0	0	0	0	0	0	0	0	260.249166728387
GEL-2033877-11	0	837.419183634083	0	1282.87619415227	1512.35404805558	5960.42478046898	0	0	0	0	0	0	0	0	0	0	0	0	0	768.925793689086
GEL-2955208-11	677.962901505275	1079.03253526135	0	1791.54450634112	4217.49004385445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	682.970013037805
GEL-2732468-11	1245.60320802005	870.215939849624	0	1390.63919799499	0	0	0	0	0	0	1144.73042606516	0	0	0	0	0	0	0	0	354.811228070176
GEL-2233221-11	0	0	0	0	0	17186.1676380031	0	0	0	0	0	0	0	0	0	0	0	0	0	1007.8323619969
GEL-2030126-11	3703.69853501567	4162.28029469049	0	2177.7627233466	1079.86992971462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700.388517232619
GEL-2256578-11	2928.57215892492	2219.17579608531	0	1175.32829389425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521.92375109552
GEL-2769456-11	5141.03486154867	3607.88426463273	0	2141.30533908141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184.77553473719
GEL-2350429-11	2385.51370344343	0	0	537.679269149684	402.508503162333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236.298524244553
GEL-2080309-11	695.717467519076	1076.15663023304	0	1514.2380903279	1029.04031759126	445.600020622809	0	0	0	0	0	0	0	0	0	0	0	0	0	100.247473705915
GEL-2743127-11	427.925030558196	0	230.65109330436	0	2461.93888360723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547.484992530214
GEL-2339618-11	658.646346735841	0	0	851.297881539127	0	0	0	0	0	0	0	616.787505404237	0	0	0	0	0	0	0	206.268266320795
GEL-2881882-11	150.07006071929	184.085941148996	0	495.231200373657	220.102755721625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.510042036432
GEL-2838344-11	353.563501849568	671.670776818742	0	1098.14426633785	1009.25400739827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107.36744759557
GEL-2761177-11	3509.42414523061	2233.86131246392	0	1147.95650779396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909.758034511509
GEL-2667037-11	2973.51731160896	2910.97488119484	0	1015.18873048201	0	582.395112016293	0	0	0	0	0	0	0	0	0	0	0	0	0	624.923964697898
GEL-2548976-11	1854.67998868218	1896.20640871472	0	1252.79705736719	1844.17330409564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225.143241140269
