Hartwig-Skin_common_SBS1+5+18	Hartwig-Skin_common_SBS17	Hartwig-Skin_common_SBS7a	Hartwig-Skin_common_SBS38	Hartwig-Skin_common_SBS13	Hartwig-Skin_rare_SBS5	Hartwig-Skin_rare_SBS125	Hartwig-Skin_rare_SBS1+5	Hartwig-Skin_rare_SBS8+23	Hartwig-Skin_rare_SBS6	Hartwig-Skin_rare_SBS1+5+106	Hartwig-Skin_rare_SBS99	Hartwig-Skin_rare_SBS33	Hartwig-Skin_rare_SBS32	Hartwig-Skin_rare_SBS96	Hartwig-Skin_rare_SBS115	Hartwig-Skin_rare_SBS124	Hartwig-Skin_rare_SBS112	Hartwig-Skin_rare_SBS4	Hartwig-Skin_rare_SBS7c	unassigned
HMF002768A	3099.74960089014	0	25967.779691355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1946.47070775486
HMF003281A	0	0	65501.7575044819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4227.2424955181
HMF003657A	1940.19690980956	0	0	289.103844771829	386.138699245419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.560546173192
HMF000725A	0	0	42539.3911116448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3256.6088883552
HMF001620A	0	0	35231.5646661971	3053.96226415094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2179.47306965196
HMF000269A	42522.6808167737	0	589931.198535303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28345.1206479233
HMF000594B	0	0	145400.050549823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5206.949450177
HMF002015A	0	0	24545.5814379854	1884.31533977896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2468.10322223564
HMF000418A	7613.12425795626	0	124475.856554661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9742.01918738274
HMF003254A	1130.40285204991	0	171.060962566845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.536185383245
HMF000580A	0	0	104444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2609
HMF000592A	4459.20623956278	0	0	776.471231212995	1122.18103840899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233.141490815235
HMF001920A	0	0	18253.0110102065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410.988989793499
HMF003497A	0	0	71053.4144056805	4852.61852982406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418.967064495446
HMF000232A	0	0	32677.7771734697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4097.2228265303
HMF000090A	0	0	79004.8433742038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5866.1566257962
HMF002379A	0	0	196456.430830079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1521.56916992099
HMF001809A	1125.83370386839	0	1842.36431006373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407.80198606788
HMF003176A	1486.35157976856	0	0	0	0	0	0	0	0	0	0	0	0	0	21444.5000650111	0	0	0	0	0	163.148355220339
HMF002506B	0	0	297066.530906371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3718.46909362898
HMF003011A	2662.43061791747	0	27600.5973914903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2468.97199059223
HMF002849A	0	0	181452.44615305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2197.55384695
HMF001441A	0	0	20386.6104930192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2532.3895069808
HMF002996A	0	0	100882.545929528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5646.454070472
