ICGC-Liver_common_SBS16	ICGC-Liver_common_SBS12	ICGC-Liver_common_SBS2+13+107	ICGC-Liver_common_SBS35	ICGC-Liver_common_SBS28	ICGC-Liver_common_SBS4	ICGC-Liver_common_SBS102	ICGC-Liver_common_SBS22	ICGC-Liver_common_SBS1+5	ICGC-Liver_rare_SBS118	ICGC-Liver_rare_SBS133	ICGC-Liver_rare_SBS103	ICGC-Liver_rare_SBS18	ICGC-Liver_rare_SBS24	ICGC-Liver_rare_SBS142	ICGC-Liver_rare_SBS30	ICGC-Liver_rare_SBS6	ICGC-Liver_rare_SBS19	ICGC-Liver_rare_SBS162	ICGC-Liver_rare_SBS53	unassigned
4904d56f-0fe7-4482-8f6d-9e54d261f399	1391.1311557199	0	2240.62722310266	1626.40702588484	1288.01024241357	4842.17764277748	1530.79491694547	1378.61648177496	2025.37483124963	0	0	0	0	0	0	0	0	0	0	0	733.860480131489
5ead73fe-1c34-48ed-b20d-89fc3c82dbd6	0	0	841.521486643438	0	0	0	351.091753774681	0	1742.47386759582	0	0	0	0	0	0	0	0	0	0	0	934.912891986061
6e6ad1a2-f1eb-44d1-9852-f5752afcf5eb	0	0	8108.11508649591	1388.79932948907	1208.85356041303	3001.77690760359	0	0	2914.31723213088	0	0	0	0	0	0	0	0	0	0	0	2119.13788386752
7fc7b316-f3d3-4e71-9417-423fe334e6bc	0	0	0	0	0	0	0	26326.5916263239	0	0	0	0	0	0	0	0	0	0	0	0	4028.4083736761
70422e6d-cb1f-4284-8be9-1d4517ffad60	1299.06528933908	0	3972.61257647177	1676.14883161167	1476.86891986762	3075.10380102297	1540.79831511383	0	1233.13810049143	0	0	0	0	0	0	0	0	0	0	0	666.26416608163
29b92b51-7ba3-42a9-97d3-6a9b5e43f928	2803.62028459555	0	3431.31888071817	1754.95317225353	1568.24537611817	1561.73813389361	0	0	2580.87237767803	0	0	0	0	0	0	0	0	0	0	0	2023.25177474294
d9c5493e-f969-4c04-a646-9a3134011021	0	0	1699.49806227449	0	1057.44327141521	956.591741280235	979.557931310971	0	1213.71321662435	0	0	0	0	0	0	0	0	0	0	0	1565.19577709474
b9098b7c-eab0-4ef5-b968-8d3024bf32f7	0	0	1550.29849268841	1595.36530933633	951.41057367829	3191.23136107987	901.33633295838	1046.55163104612	1353.00598425197	0	0	0	0	0	0	0	0	0	0	0	539.80031496063
5df489bc-6178-49e4-8a42-506f70300dff	0	0	2628.52313566936	719.095968104223	1035.41823899371	958.961197214735	0	0	2220.75224618149	0	0	0	0	0	0	0	0	0	0	0	1336.24921383648
670f971f-a525-4ef8-91ba-610cfbaeb914	3397.11133681314	1829.82929212414	3684.66308400401	1943.84981101026	0	0	2415.9347663984	3478.1259160217	0	0	0	0	0	0	0	0	0	0	0	0	2699.48579362835
50ee360c-e3df-4888-9999-ebb88e271d08	0	0	1129.37605081263	623.086742636528	908.31309546049	1126.86966809889	1145.41690018058	774.973535089358	1606.09004296656	0	0	0	0	0	0	0	0	0	0	0	735.873964754964
5d58b984-e0b8-4237-a576-0e9d4079599e	397.172794117647	540.91628959276	543.420531674208	408.191459276018	595.508766968326	0	416.705882352941	0	461.782239819005	0	0	0	0	0	0	0	0	0	0	0	178.302036199095
e30c64d5-e796-4cfc-8dc8-6e62bf97822f	963.823460845608	0	1489.59065380947	1357.02755112854	1907.71262053619	3142.64257709018	2740.96640881636	0	1369.9848468793	0	0	0	0	0	0	0	0	0	0	0	1137.25188089435
c36213e4-c057-46f5-ada5-f1f921855bb4	509.281672373401	0	793.998197873491	0	485.221120922689	1060.66930978555	622.566768787169	0	1260.17138223103	0	0	0	0	0	0	0	0	0	0	0	831.091548026669
81a8b064-e735-455f-b2db-af7ae11daac4	0	0	5937.25722048908	2088.72899265372	0	5303.92975747207	1985.09358961457	1126.47177216464	1391.81845627453	0	0	0	0	0	0	0	0	0	0	0	2066.70021133139
1c00925b-7328-4db0-b930-04aab2d80719	0	753.383172256964	2516.10982479715	742.384877771461	644.40007235516	1846.21370613468	0	911.358674866918	1819.21789239754	0	0	0	0	0	0	0	0	0	0	0	439.931779420127
f1a4f60a-5228-47cd-883f-ff8d2dfe1633	0	547.482974632513	1903.91837747318	582.045028840786	715.785151646716	888.094523351734	680.72219810209	826.483904980463	1441.08739068412	0	0	0	0	0	0	0	0	0	0	0	490.380450288398
5769ae11-5f1b-483f-b228-7584591c66e6	0	950.752451193059	733.309067245119	395.39704989154	669.325726681128	960.249978308026	0	0	1498.60980477223	0	0	0	0	0	0	0	0	0	0	0	553.355921908898
cf777ef1-765f-4828-b789-f5aa6722eb35	1244.87410703829	1299.9127532498	0	949.666822812976	806.566342663075	1754.23176015927	0	0	1370.96264199555	0	0	0	0	0	0	0	0	0	0	0	1118.78557208104
