Hartwig-Colorectal_common_SBS35	Hartwig-Colorectal_common_SBS1	Hartwig-Colorectal_common_SBS88	Hartwig-Colorectal_common_SBS2+13	Hartwig-Colorectal_common_SBS157	Hartwig-Colorectal_common_SBS17_a	Hartwig-Colorectal_common_SBS18	Hartwig-Colorectal_common_SBS93+121	Hartwig-Colorectal_common_SBS17_b	Hartwig-Colorectal_rare_SBS33	Hartwig-Colorectal_rare_SBS44_a	Hartwig-Colorectal_rare_SBS94	Hartwig-Colorectal_rare_SBS88	Hartwig-Colorectal_rare_SBS4	Hartwig-Colorectal_rare_SBS108	Hartwig-Colorectal_rare_SBS128	Hartwig-Colorectal_rare_SBS22+121	Hartwig-Colorectal_rare_SBS44_b	Hartwig-Colorectal_rare_SBS10a	Hartwig-Colorectal_rare_SBS145	Hartwig-Colorectal_rare_SBS124	Hartwig-Colorectal_rare_SBS146	Hartwig-Colorectal_rare_SBS13	Hartwig-Colorectal_rare_SBS112	Hartwig-Colorectal_rare_SBS97	unassigned
HMF001871A	5569.37113982666	3457.0407371484	2205.34495165984	0	2549.89884546791	3876.1062857858	2691.92106004193	4929.77109602328	6410.00262820312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276.543255843062
HMF002369A	2905.91418701897	0	3155.77783164657	1783.5266953518	5071.23253136174	5164.1818071632	0	13416.6782619235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1486.68868553422
HMF000152B	0	3603.33045729077	5582.76531492666	2133.73490077653	3067.0254529767	1621.39883520276	0	1295.82075064711	1557.98101811907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1972.9432700604
HMF002107B	3317.19765404117	2828.75752973339	2916.65677500759	0	2074.12253195317	1417.87475757647	1867.85896207678	5345.87228076734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1605.65950884409
HMF003717A	2488.95444252356	2807.38464535294	1802.60488446273	1546.6609851713	3611.20845406511	0	0	4522.50870486255	1849.59458472327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1901.08329883854
HMF000112B	5120.68371919343	4478.84596713966	0	0	0	6546.04415608663	0	11543.5671209858	11403.8848020911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3810.97423450338
HMF000365A	2498.80210812649	4424.80573501077	1480.2713589482	2078.5831349881	4238.20850051003	0	1509.28647852204	3833.99786920549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2005.04481468888
HMF001498A	3135.98857304545	2840.4137863486	1804.90346944106	0	0	8106.83751958906	0	1530.79779731847	3040.12648006269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2479.93237419467
HMF000207A	1962.56369752816	5486.4847155185	2108.95655989469	1051.23065672078	1635.30320315928	1068.21822436741	1554.86207400907	1301.04782799473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911.33304080738
HMF000355A	0	6520.7486938049	3953.45392432681	0	0	0	3541.90667164265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3402.89071022564
HMF003298A	3696.25595765518	3720.77423867929	1912.92629296274	0	1954.95763186121	2214.15088840181	2181.12626498158	4800.5793499044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	978.22937555379
HMF003208A	3664.7072167443	3722.77387937814	1127.79474925897	0	1766.5280382312	0	2811.22739096243	2069.37571834735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1387.59300707761
HMF002302A	2337.02456578416	3065.40887893365	1900.89321778724	0	2264.08621892557	1261.93331619726	1141.03550839056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1634.61829398156
HMF000799A	1228.37327648454	4523.03338720215	1188.87735102981	1059.89065777258	2456.74655296909	0	2102.28312072345	1501.34511570333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479.45053811505
HMF001838A	6751.94420458778	4777.436997393	2792.42443135578	0	9735.46611583928	2250.64806819593	3841.95980523332	2546.29888133302	2836.44688745741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734.374608604478
HMF002782A	0	5530.06714759479	1147.6176963315	0	1466.15036411501	1086.11138842354	2107.21610995248	1605.16462101268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1683.67267257
HMF001499A	2184.01975633849	1836.88083635166	0	3300.07388870596	2618.82001975634	1517.2926243003	1480.7253210405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2275.18755350675
HMF001856A	2343.9656999711	5273.42325850275	3952.07004528375	0	3710.77945852202	1497.20059736005	2230.06455342519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1732.49638693514
HMF001604A	7098.11006532577	2931.25193398659	0	0	0	4567.3925563005	2931.75197696407	0	14032.7060770156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3343.78739040747
HMF000833A	800.097152109725	3978.44175635775	1071.13820363844	0	1536.06629202781	0	780.057148299838	1535.06429183732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819.135155729116
HMF000234A	1003.53807088445	8230.91320052931	981.526268731447	0	0	0	1530.82078609492	847.454382890455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1393.74729086942
HMF003682A	0	3451.82435269419	3539.94751574528	0	885.737928621414	0	0	0	0	0	0	0	3700.67214835549	0	0	0	0	0	0	0	0	0	0	0	0	1300.81805458363
HMF002619A	3034.27665609878	3340.00604872351	897.673535791757	722.542132487903	983.738111129651	1140.85599866511	1178.88453195395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697.022985149339
HMF001049A	2122.34776297614	4346.71224217451	1694.2776203966	1243.7037904151	6444.55598997963	0	2062.33792990424	2771.95420597944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674.110458174342
HMF001099A	0	23164.1206093699	24203.6484602318	0	0	23534.1305226156	0	0	11577.3101774203	0	96273.5793461545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7871.21088420789
HMF001783A	0	8409.64716822388	1699.32249922508	0	1883.24916972944	3447.12566975158	2373.05389009432	1901.24199619183	1644.84421910287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1215.515387681
HMF001869A	692.934548545523	3573.16249527767	2437.76973932754	0	1472.36092746505	644.939081979599	710.932848507745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1054.90035889687
HMF000348A	4598.2476602486	4717.1635510602	0	0	3022.36228369486	2524.21462344626	0	10726.4132098465	9747.60552035096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5664.99315135262
