Hartwig-Uterus_common_SBS17	Hartwig-Uterus_common_SBS31	Hartwig-Uterus_common_SBS13	Hartwig-Uterus_common_SBS111	Hartwig-Uterus_common_SBS2	Hartwig-Uterus_common_SBS3+8	Hartwig-Uterus_common_SBS1	Hartwig-Uterus_rare_SBS44	Hartwig-Uterus_rare_SBS108	Hartwig-Uterus_rare_SBS159	unassigned
HMF003016A	0	723.349635692185	345.189639684599	0	0	1684.98502844595	1670.49805369797	0	0	0	580.977642479296
HMF000471A	0	0	8954.5887863342	0	5604.24264131882	2341.3924783028	2355.89181246269	0	0	0	2519.88428158149
HMF002982A	9186.58979575448	0	3428.3922691865	2167.64480552507	2671.64349385657	0	0	0	0	0	1242.72963567738
HMF002300A	2412.0755852214	2733.08564444862	0	0	1092.53423584344	7202.22569020087	1035.53244962552	0	0	0	1480.54639466015
HMF000498A	0	0	0	0	0	0	24943.7376060585	38572.4239534395	0	0	689.838440501997
HMF002643B	0	3261.42269311906	14802.149138401	0	0	0	1300.96916257792	0	0	0	1729.45900590202
HMF002859A	0	7492.38132361378	4569.96689278121	1420.13111268604	0	0	0	0	0	0	1360.52067091897
HMF002632A	0	0	3134.62542650471	0	1476.4140848915	591.967926845912	1904.61423502115	0	0	0	231.378326736728
HMF001747A	0	0	0	0	0	734.088937356113	2769.33551435842	0	0	0	623.575548285467
HMF000440A	0	0	7039.09931178196	0	4798.22505552357	0	4599.92646212059	0	0	0	1825.74917057388
HMF003532A	0	0	3192.30408142071	0	3026.5806418112	0	2958.98951085263	0	0	0	464.12576591546
HMF003612A	0	0	3558.73242613337	0	577.956544620705	609.454176377716	1652.8757236298	0	0	0	250.981129238409
HMF001564A	768.145143222916	3655.20763322132	2185.10217634822	3520.83237317971	0	2021.14430308849	0	0	0	0	382.568370939343
HMF003240A	0	3226.61763030902	0	0	0	0	5235.80433414261	22719.0338998292	0	0	2234.54413571917
HMF002643A	0	3526.96250661426	6695.57321037115	0	869.853957215209	0	1364.83989719556	0	0	0	784.770428603821
HMF001744B	429.286468547292	0	0	550.584854427516	0	3894.52677628602	1201.00377130789	0	0	0	542.598129431282
