Hartwig-Breast_common_SBS5	Hartwig-Breast_common_SBS31	Hartwig-Breast_common_SBS17	Hartwig-Breast_common_SBS13	Hartwig-Breast_common_SBS2	Hartwig-Breast_common_SBS18	Hartwig-Breast_common_SBS1	Hartwig-Breast_common_SBS8	Hartwig-Breast_common_SBS3	Hartwig-Breast_rare_SBS44	Hartwig-Breast_rare_SBS97	Hartwig-Breast_rare_SBS10d	Hartwig-Breast_rare_SBS4	Hartwig-Breast_rare_SBS90	Hartwig-Breast_rare_SBS119	Hartwig-Breast_rare_SBS106	unassigned
HMF003252A	1573.80826701316	0	0	12246.5080396297	6053.76248578853	0	0	0	0	0	0	0	0	0	0	0	4750.92120756861
HMF001061A	1344.75132229628	0	0	3784.6144915072	1904.56409374328	1107.61883465921	1822.51825413889	0	807.451128789508	0	0	0	0	0	0	0	862.481874865633
HMF001103A	0	0	0	6030.91837029894	2945.71591128255	10162.0199614272	0	0	0	0	0	0	0	0	0	0	1599.34575699131
HMF002201A	445.577731714539	0	0	302.069588392064	1089.85904649097	0	960.902428190702	0	0	0	0	0	0	0	0	0	590.591205211725
HMF000295A	1371.78433709962	0	0	659.136622784285	5465.63289105421	0	830.672177879133	0	0	0	0	0	0	0	0	0	1321.77397118275
HMF003008A	0	0	0	15335.7260819879	18680.1742901515	0	0	0	0	42196.3886658657	0	0	0	0	0	0	9167.7109619949
HMF000381A	1397.94908418753	639.033775835994	406.794656360276	0	381.714837842379	1021.75180641909	1045.82843219627	675.148714501764	0	0	0	0	0	0	0	0	401.778692656697
HMF001401A	276.654959658282	214.507831039392	0	184.436639772188	471.616516373991	259.614617940199	564.837209302326	0	0	0	0	0	0	0	0	0	140.332225913622
HMF002589A	1846.94440396189	0	0	7598.44236634011	2507.46096132567	0	1698.82856988638	0	2895.76463444256	0	0	0	0	0	0	0	1993.55906404339
HMF000266A	1274.96195763932	478.863664404688	0	0	654.547398725067	0	1338.20810199465	441.217149907465	0	0	0	0	0	0	0	0	694.20172732881
HMF002267A	833.075872830115	0	0	0	0	276.520967427345	659.434757167934	248.919055978155	303.621025941096	0	0	0	0	0	0	0	251.428320655355
HMF001860A	697.061486231611	285.820193637621	0	0	614.113667798315	704.5567710298	801.995473406262	395.251351691186	0	0	0	0	0	0	0	0	475.201056205205
HMF001204A	843.712343699904	0	0	2472.48323180507	1148.01025969862	0	1096.37486373838	1366.08207758897	0	0	0	0	0	0	0	0	891.337223469056
HMF002735A	0	0	0	8695.71101748033	1948.77139772965	0	0	0	0	0	0	0	0	0	0	0	3716.51758479002
HMF000372B	0	0	0	21295.329144359	28276.6009636912	0	0	0	0	0	0	0	0	0	0	0	1795.0698919498
HMF001430A	3026.67688905271	0	0	2537.27386656837	814.835974935496	0	1003.87792112053	3261.34964983413	1546.43332104681	0	0	0	0	0	0	0	1413.55237744195
HMF001902B	440.348386044995	273.285295076622	0	0	0	545.573198565373	1227.29034887512	318.666612324747	0	0	0	0	0	0	0	0	253.836159113143
HMF003241A	1193.95745647237	0	0	401.817411052233	0	467.287660862983	0	2305.95215745647	1200.95427706283	0	0	0	0	0	0	0	1032.03103709311
HMF000987A	0	5801.72416502947	0	0	0	833.098821218075	1380.00722003929	0	1059.85353634578	0	0	0	0	0	0	0	1094.31625736739
HMF003264A	667.59048393656	394.05340924495	0	0	0	622.084316117663	1207.66368442456	343.546563643758	0	0	0	0	0	0	0	0	454.061542632509
HMF001656A	0	0	0	50701.9275216284	66818.0634138321	0	0	0	0	0	0	0	0	0	0	0	1075.0090645395
HMF001801A	326.20990670813	183.83651710351	0	0	0	242.284540204354	700.87672145713	315.219680142159	204.817858729454	0	0	0	0	0	0	0	275.754775655263
HMF002539A	863.839285714286	0	0	274.720982142857	302.34375	731.752232142857	1086.83035714286	0	0	0	0	0	0	0	0	0	790.51339285714
HMF003427A	1352.45559309762	0	2456.05134548087	0	0	793.146856522264	1515.69162543743	705.01942801979	0	0	0	0	0	0	0	0	1476.63515144203
HMF001780A	1031.7491226084	0	0	0	0	1101.86799501868	1102.86969319597	434.737008943734	0	0	0	0	0	0	0	0	752.776180233216
HMF000950A	896.192166910688	373.247071742313	0	627.733711566618	660.667276720351	815.854227672035	1238.00265373353	451.589037335285	0	0	0	0	0	0	0	0	389.71385431918
HMF003586A	1448.55452015625	0	0	5112.95728765095	3468.82789961449	2678.52536444637	1263.98386479103	3014.15384615385	1560.0972197401	0	0	0	0	0	0	0	1044.89999744696
HMF003780A	1421.85185643564	382.594678217822	0	0	0	542.134158415842	704.674381188119	514.127227722772	0	0	0	0	0	0	0	0	475.617698019805
HMF003417A	1713.04468877461	521.383223975882	1618.7946444405	0	0	0	615.633268309984	0	0	0	0	0	0	0	0	0	1185.14417449902
HMF001468A	0	0	0	2483.89995573262	2359.95484727756	891.105356352368	1197.96945551129	0	0	0	0	0	0	0	0	0	970.070385126161
HMF000397A	552.672429935709	0	0	1552.48436427189	995.810685974658	1579.99294675738	1062.83159603021	1297.40478122464	656.204731290182	0	0	0	0	0	0	0	315.598464515331
HMF002312A	0	0	0	7830.90676364469	7113.54504323922	0	1026.73334860546	0	0	0	0	0	0	0	0	0	1510.81484451063
HMF003684A	1045.42698886116	0	3896.36435571246	0	0	569.687747276158	0	983.960679286627	671.631870472944	0	0	0	0	0	0	0	1042.92835839065
HMF000196A	2237.35475585144	0	0	10607.9407123948	3729.42444892931	0	0	1175.66094409352	0	0	0	0	0	0	0	0	1320.61913873093
HMF001455A	2948.53126372822	0	2292.85787084493	2433.28791916825	0	1239.38263288915	0	3788.61279835994	3013.49890174257	0	0	0	0	0	0	0	1347.82861326694
HMF003391A	655.343711736925	0	0	0	0	443.732726954697	778.408256078363	367.692845898198	238.124890676928	0	0	0	0	0	0	0	376.697568654889
