Hartwig-Lung_common_SBS2	Hartwig-Lung_common_SBS3+8	Hartwig-Lung_common_SBS31	Hartwig-Lung_common_SBS4_a	Hartwig-Lung_common_SBS1+5	Hartwig-Lung_common_SBS17	Hartwig-Lung_common_SBS4_b	Hartwig-Lung_common_SBS92	Hartwig-Lung_common_SBS13	Hartwig-Lung_rare_SBS44	Hartwig-Lung_rare_SBS1	Hartwig-Lung_rare_SBS35	Hartwig-Lung_rare_SBS18+33	Hartwig-Lung_rare_SBS18	unassigned
HMF003355A	1868.41054699305	4483.88508612874	0	7848.42512843759	1953.47476579027	0	3812.37813538833	9515.18343910547	0	0	0	0	0	0	3633.24289815655
HMF002786A	2863.88029371122	6382.87696101011	0	7351.02676998943	3537.02739317745	0	6048.3068252635	6899.25691603219	0	0	0	0	0	0	3887.6248408161
HMF001566A	2266.14627556928	2457.70090446865	0	0	0	0	0	0	24491.9847968721	0	0	0	0	0	589.168023089969
HMF000058A	0	1814.29374298348	0	6796.9809379797	0	0	7022.33111095837	2163.06185992164	0	0	0	0	0	0	4012.33234815681
HMF001883A	5986.81292507129	5808.30359455676	0	32962.7229304727	0	0	23174.2112941914	0	6401.83461786417	0	0	0	0	0	11759.1146378437
HMF002698A	0	2002.14499146272	2614.88332384747	7906.62350597609	1224.97687820148	0	4870.42010529311	1422.39257256688	0	0	0	0	0	0	1033.55862265225
HMF003553A	0	7496.01218199855	0	12329.9873471996	0	0	7004.41301094614	9572.4310611538	18574.7471121349	0	0	0	0	0	4507.40928656701
HMF001784A	0	5787.59462222222	4148.72722962963	25236.7557925926	0	0	16274.0433111111	7540.59205925926	0	0	0	0	0	0	8589.28698518519
HMF002781A	0	7744.75235519182	4522.72750286091	14126.8400434627	0	0	7769.23734553987	2535.94542890499	0	0	0	0	0	0	6529.49732403971
HMF000347A	0	0	5339.50936307073	34911.2143436833	0	0	24315.2579879167	5857.3982386005	0	0	0	0	0	0	12811.6200667288
HMF003224A	0	2960.36170272001	0	0	3632.85252930204	0	0	1924.83599209332	3458.59578496061	0	0	0	3457.59430941841	0	2551.75968150561
HMF002419A	0	3240.6419811182	1821.01785241611	0	2990.20828799153	5592.01941119379	1751.53624893385	0	0	0	0	0	0	0	1600.57621834652
HMF000225A	0	5663.30618240085	0	5535.61890773134	3141.60769128054	0	6149.01856055548	5980.27106422754	0	0	0	0	0	0	3530.17759380425
HMF002662A	3268.30993733043	3169.7553593947	0	18981.5116550117	3045.68665214567	0	15046.832693263	0	3595.99140204058	0	0	0	0	0	5258.91230081391
HMF000617A	1701.53967876264	2871.91088637716	0	7963.0256395003	0	0	2993.94959349594	5783.3343049772	1507.97828673409	0	0	0	0	0	2401.26161015267
HMF003132B	0	10809.8944943828	17010.3264175722	11169.2746276172	0	4931.85504120197	4727.42322688641	17715.0913520097	0	0	0	0	0	0	7091.13484032972
HMF003312A	0	6297.49690132725	0	11098.2524271845	0	0	5031.90671226236	9379.84555114448	0	0	0	0	0	0	6296.49840808141
HMF000187A	0	0	0	332.962039988409	1426.62199362504	0	0	0	0	0	1001.89481309765	0	0	0	699.521153288901
HMF000208A	0	3070.7615639016	0	9729.32360802791	1926.28218487141	0	7699.13408538335	6138.02624624352	0	0	0	0	0	0	4516.47231157221
HMF003609A	0	16279.1488439478	0	49772.0986127374	0	0	24156.4305872547	7781.76620159962	13597.2124555937	0	0	0	0	0	14401.3432988668
HMF002376A	0	794.370940743221	0	0	1635.05501618123	0	0	500.383216158911	0	0	946.902243053231	0	0	0	634.288583863407
HMF000911A	820.470934454424	1978.84173514237	0	2282.70131855532	1967.82870246513	0	1001.18478884005	3720.40267532964	0	0	0	0	0	0	1326.56984521307
HMF000540A	0	3023.278398442	0	20939.9651334457	0	0	13389.5185693195	0	0	0	0	0	0	0	10397.2378987928
HMF001857A	1762.74645659226	3112.55230820856	0	5094.76719771177	3142.54799380003	3115.05194867452	7280.95274923699	5431.21880442946	0	0	0	0	0	0	2346.16254134641
HMF003648A	564.463052821295	603.235269652017	0	0	1594.69624289477	0	0	346.432275058921	0	0	0	0	0	0	523.173159572997
HMF000686A	0	9239.05362070251	6105.22261167872	20944.6871504214	0	0	17528.9612946528	0	3570.16824520844	0	0	0	0	0	9631.90707733613
HMF000438A	5043.52276726862	8087.73471511742	0	14822.5974429005	0	0	25132.6218785283	15369.0457363803	4872.53894625297	0	0	0	0	0	5933.93851355188
HMF000026B	264.54701986755	403.095364238411	0	510.018543046358	1133.48609271523	0	0	0	373.980132450331	0	0	0	0	429.198675496689	296.674172185431
