Hartwig-Bone_SoftTissue_common_SBS17	Hartwig-Bone_SoftTissue_common_SBS18	Hartwig-Bone_SoftTissue_common_SBS2+13	Hartwig-Bone_SoftTissue_common_SBS1	Hartwig-Bone_SoftTissue_common_SBS3	Hartwig-Bone_SoftTissue_common_SBS8	Hartwig-Bone_SoftTissue_common_SBS127	Hartwig-Bone_SoftTissue_common_SBS122	Hartwig-Bone_SoftTissue_common_SBS161	Hartwig-Bone_SoftTissue_rare_SBS7a	Hartwig-Bone_SoftTissue_rare_SBS30	Hartwig-Bone_SoftTissue_rare_SBS31	Hartwig-Bone_SoftTissue_rare_SBS117	Hartwig-Bone_SoftTissue_rare_SBS11	Hartwig-Bone_SoftTissue_rare_SBS93+121	unassigned
HMF001712A	0	210.399185823755	0	468.775383141763	0	416.800287356322	307.852490421456	262.874042145594	0	0	0	0	0	0	0	420.29861111111
HMF002452A	0	0	314.623655913978	1226.88172043011	0	480.716845878136	0	334.695340501792	411.469534050179	0	0	0	0	0	0	731.612903225805
HMF002415A	0	0	0	1820.21852583429	731.395987108847	878.276743944277	0	438.135772949371	751.94926707558	0	0	0	0	0	0	202.023703087635
HMF002303A	257.013181019332	0	0	800.383567662566	0	323.796133567663	306.594463971881	403.22737258348	0	0	0	0	0	0	0	211.985281195078
HMF001524A	0	356.248876460601	0	0	0	1841.78667731948	1610.12483771098	0	0	0	0	0	0	0	0	1201.83960850894
HMF000056A	1372.51683937824	0	0	0	1952.88968048359	5346.7222582038	0	3223.01716321244	0	0	0	0	0	0	0	1985.85405872193
HMF001988A	0	0	0	594.254320705048	0	1342.10827515165	1159.8031360879	379.214833466865	0	0	0	0	0	0	0	924.619434588537
HMF001918A	0	712.954887983707	4649.74938900204	2701.40712830957	0	0	0	780.139103869654	0	0	0	0	0	0	0	1002.74949083503
HMF002278A	0	0	0	616.843373493976	0	171.542168674699	237.325301204819	0	0	0	0	0	0	0	0	318.289156626506
HMF000305A	525.971663794754	0	0	548.012381134725	1243.79775352607	2014.72193503095	2357.85582998277	0	0	0	0	0	0	0	0	1158.64043653073
HMF000110A	0	880.249128919861	780.551020408163	1485.95271279243	1547.57516177203	1808.09283225485	1709.89771030363	745.481333997013	863.716276754604	0	0	0	0	0	0	243.48382279742
HMF000532A	0	0	0	388.743514059344	0	799.083890010875	1213.44228677956	0	0	0	0	0	0	0	0	831.730309150221
HMF001772A	0	0	0	524.018345671065	0	474.73447055037	782.507241712263	577.828290955906	0	0	0	0	0	0	0	765.911651110396
HMF000013A	0	164.168985059248	189.194744976816	606.624420401855	0	0	314.323544564657	274.282328696548	223.73029366306	0	0	0	0	0	0	170.675682637816
HMF004339A	0	810.802241181714	0	0	0	2385.68763529861	0	0	0	0	0	3438.62536610213	0	0	0	1254.88475741755
HMF004176A	0	2918.27105509013	0	0	6374.03948355873	7152.31170263275	0	3330.38567687195	10422.2539016434	0	0	0	0	0	0	2418.73818020304
HMF004237A	0	0	0	840.113563218391	0	338.844137931034	639.705747126437	478.28	475.281379310345	0	0	0	0	0	0	488.775172413793
HMF003295B	0	0	0	1051.74426707722	763.314399157281	1427.15298598169	828.79847662264	1337.67474272749	0	0	0	0	0	0	0	760.315128433679
HMF003896A	0	333.620979020979	163.804895104895	710.823076923077	558.038694638695	0	0	0	0	0	0	0	0	0	0	382.712354312354
HMF004014A	0	0	0	807.469095136601	391.227281534586	341.198217399729	391.227281534586	0	0	0	0	0	0	0	0	650.878124394498
HMF004056A	10058.3219328639	0	0	774.02537163295	0	0	1062.09306657725	0	0	0	0	0	0	0	0	1552.5596289259
HMF004365A	0	157.76406172225	178.732702837232	304.544549527128	0	361.459432553509	635.549527127924	0	205.692384270781	0	0	0	0	0	0	162.257341961176
HMF004079A	0	0	0	420.911851126347	0	261.756121449559	563.551420176298	0	352.344760039177	0	0	0	0	0	0	445.435847208619
HMF004111A	0	177.226255958929	0	451.121378804547	255.266226622662	160.61129446278	0	0	0	0	0	0	0	0	0	328.774844151082
